,speed
0,0.0
1,9.799518843612415
2,149.6385451292154
3,401.81952323136784
4,724.2622914902199
5,1158.068649715756
6,1463.9608015257038
7,2091.6926706333797
8,2091.6926706333797
9,2091.6926706333797
10,2091.6926706333797
11,2091.6926706333797
12,2091.6926706333797
13,2091.6926706333797
14,2802.5281979589854
15,3756.4432425128994
16,4027.3004918156003
17,4261.590042627184
18,4494.928746506523
19,4672.326775167085
20,4683.693897418867
21,4671.716882519478
22,4654.964712727324
23,4654.964712727324
24,4654.964712727324
25,4654.964712727324
26,4654.964712727324
27,4654.964712727324
28,4654.964712727324
29,4654.964712727324
30,4654.964712727324
31,4627.805802240753
32,4442.880638166775
33,4259.804349826464
34,4138.7553074004645
35,4093.227978608924
36,4081.748502248978
37,4081.748502248978
38,4081.748502248978
39,4081.748502248978
40,4081.748502248978
41,4081.748502248978
42,4081.748502248978
43,4081.748502248978
44,4081.748502248978
45,4045.6230610442503
46,4023.9275968459824
47,4046.6445873672765
48,4071.002875475044
49,4089.491897018171
50,4075.564170249885
51,4046.72448157258
52,4022.0931262434306
53,4022.9701843373637
54,4022.9701843373637
55,4022.9701843373637
56,4022.9701843373637
57,4022.9701843373637
58,4022.9701843373637
59,4022.9701843373637
60,4022.9701843373637
61,4024.463626255306
62,3975.727648928198
63,3950.6940307781147
64,3956.4797313340555
65,4160.7660899773355
66,4305.627205581244
67,4305.627205581244
68,4305.627205581244
69,4305.627205581244
70,4305.627205581244
71,4305.627205581244
72,4305.627205581244
73,4305.627205581244
74,4230.257189401491
75,4152.673900722
76,4037.5020389144524
77,4082.956624310276
78,4082.956624310276
79,4082.956624310276
80,4082.956624310276
81,4082.956624310276
82,4082.956624310276
83,4082.956624310276
84,4082.956624310276
85,4082.956624310276
86,4145.184787113574
87,4084.5143746199406
88,3981.145729549754
89,3939.0573496877973
90,3935.3322546151485
91,3935.3322546151485
92,3935.3322546151485
93,3935.3322546151485
94,3935.3322546151485
95,3935.3322546151485
96,3935.3322546151485
97,3941.540314223881
98,4114.286182064195
99,4398.517093374388
100,4363.944144422827
101,4263.516911536161
102,4263.516911536161
103,4263.516911536161
104,4263.516911536161
105,4263.516911536161
106,4263.516911536161
107,4263.516911536161
108,4263.516911536161
109,4250.830011349154
110,4207.981685917109
111,4082.0861247195617
112,3976.0989467880354
113,3979.803704765947
114,4269.309842948224
115,4269.309842948224
116,4269.309842948224
117,4269.309842948224
118,4269.309842948224
119,4269.309842948224
120,4269.309842948224
121,4269.309842948224
122,4320.679549094194
123,4413.097554587753
124,4442.799497642833
125,4443.299069400844
126,4420.630421129223
127,4339.032241337307
128,4292.260982392219
129,4256.027643658771
130,4215.069377064793
