,throughput
0,782
1,544
2,733
3,680
4,714
5,680
6,680
7,646
8,714
9,748
10,732
11,765
12,731
13,714
14,664
15,697
16,579
17,578
18,765
19,714
20,714
21,714
22,748
23,680
24,646
25,748
26,714
27,680
28,766
29,680
30,714
31,697
32,782
33,612
34,646
35,714
36,748
37,731
38,731
39,680
40,714
41,612
42,765
43,714
44,697
45,714
46,765
47,714
48,748
49,714
50,612
51,612
52,646
53,714
54,646
55,510
56,680
57,646
58,714
59,663
60,714
61,646
62,612
63,442
64,646
65,680
66,680
67,748
68,612
69,680
70,663
71,664
72,764
73,732
74,696
75,765
76,714
77,697
78,697
79,731
80,732
81,714
82,664
83,442
84,681
85,680
86,612
87,680
88,714
89,631
90,612
91,714
92,714
93,646
94,748
95,714
96,578
