,throughput
0,374
1,476
2,476
3,442
4,510
5,476
6,408
7,476
8,442
9,476
10,510
11,340
12,357
13,476
14,442
15,442
16,476
17,510
18,442
19,442
20,476
21,442
22,408
23,476
24,374
25,408
26,510
27,510
28,442
29,476
30,510
31,476
32,510
33,442
34,476
35,510
36,442
37,408
38,408
39,408
40,510
41,424
42,408
43,476
44,476
45,476
46,476
47,476
48,510
49,510
50,476
51,544
52,442
53,458
54,442
55,408
56,426
57,476
58,476
59,476
60,510
61,510
62,459
63,340
64,476
65,476
66,510
67,510
68,544
69,460
70,340
71,476
72,476
73,408
74,476
75,493
76,442
77,544
78,476
79,408
80,442
81,476
82,374
83,442
84,442
85,374
86,442
87,408
88,408
89,527
90,476
91,476
92,324
93,510
94,476
