base_delay,base_loss,control_interval,result
1,0,1,98.38
1,0,1,96.57
1,0,1,96.64
1,0,1,96.7
1,0,1,97.73
1,0,1,97.14
1,0,1,96.72
1,0,1,96.1
1,0,1,96.15
1,0,1,96.9
1,0,2,97.95
1,0,2,97.72
1,0,2,96.86
1,0,2,97.57
1,0,2,97.57
1,0,2,97.1
1,0,2,96.9
1,0,2,97.86
1,0,2,97.38
1,0,2,97.66
1,0,3,96.58
1,0,3,97.26
1,0,3,97.13
1,0,3,97.19
1,0,3,96.54
1,0,3,96.29
1,0,3,97.0
1,0,3,96.84
1,0,3,97.4
1,0,3,97.17
1,0,4,97.29
1,0,4,97.9
1,0,4,97.55
1,0,4,97.63
1,0,4,97.27
1,0,4,97.07
1,0,4,97.17
1,0,4,97.51
1,0,4,98.28
1,0,4,97.58
1,0,5,97.16
1,0,5,97.95
1,0,5,97.65
1,0,5,97.94
1,0,5,97.5
1,0,5,97.53
1,0,5,97.6
1,0,5,97.48
1,0,5,97.63
1,0,5,97.25
1,0,6,97.45
1,0,6,97.79
1,0,6,96.67
1,0,6,97.29
1,0,6,97.11
1,0,6,96.99
1,0,6,97.93
1,0,6,96.47
1,0,6,97.58
1,0,6,97.17
1,0,7,97.6
1,0,7,97.33
1,0,7,97.72
1,0,7,97.41
1,0,7,97.83
1,0,7,97.74
1,0,7,97.19
1,0,7,98.16
1,0,7,97.68
1,0,7,96.99
1,0,8,97.24
1,0,8,97.11
1,0,8,97.98
1,0,8,97.33
1,0,8,97.1
1,0,8,97.71
1,0,8,97.35
1,0,8,97.64
1,0,8,97.46
1,0,8,97.34
1,0,9,97.45
1,0,9,97.8
1,0,9,97.81
1,0,9,97.72
1,0,9,97.71
1,0,9,97.81
1,0,9,97.85
1,0,9,97.08
1,0,9,98.0
1,0,9,97.45
1,0,10,97.71
1,0,10,97.71
1,0,10,97.55
1,0,10,97.64
1,0,10,97.25
1,0,10,97.66
1,0,10,97.46
1,0,10,97.77
1,0,10,97.8
1,0,10,97.28
1,0,11,96.94
1,0,11,97.51
1,0,11,97.84
1,0,11,97.62
1,0,11,97.88
1,0,11,97.91
1,0,11,97.31
1,0,11,98.0
1,0,11,97.66
1,0,11,97.65
1,0,12,97.8
1,0,12,97.44
1,0,12,97.16
1,0,12,96.76
1,0,12,97.4
1,0,12,97.19
1,0,12,97.34
1,0,12,97.35
1,0,12,96.89
1,0,12,97.53
1,0,13,97.22
1,0,13,97.53
1,0,13,97.54
1,0,13,97.44
1,0,13,97.36
1,0,13,97.39
1,0,13,97.42
1,0,13,97.5
1,0,13,97.6
1,0,13,97.42
1,0,14,97.58
1,0,14,97.19
1,0,14,97.33
1,0,14,97.22
1,0,14,97.3
1,0,14,97.56
1,0,14,97.29
1,0,14,97.19
1,0,14,96.42
1,0,14,97.0
1,0,15,97.37
1,0,15,97.68
1,0,15,97.49
1,0,15,97.59
1,0,15,97.47
1,0,15,97.86
1,0,15,97.5
1,0,15,97.43
1,0,15,97.61
1,0,15,97.91
1,0,16,97.74
1,0,16,97.46
1,0,16,97.08
1,0,16,97.71
1,0,16,97.83
1,0,16,97.38
1,0,16,97.59
1,0,16,97.31
1,0,16,97.11
1,0,16,97.43
1,0,17,96.7
1,0,17,97.13
1,0,17,97.62
1,0,17,96.81
1,0,17,97.24
1,0,17,96.88
1,0,17,97.55
1,0,17,97.7
1,0,17,97.54
1,0,17,97.72
1,0,18,97.31
1,0,18,97.26
1,0,18,97.22
1,0,18,96.89
1,0,18,97.26
1,0,18,97.29
1,0,18,97.58
1,0,18,97.7
1,0,18,97.52
1,0,18,97.36
1,0,19,97.18
1,0,19,97.12
1,0,19,97.45
1,0,19,97.12
1,0,19,97.41
1,0,19,97.41
1,0,19,97.3
1,0,19,97.1
1,0,19,97.29
1,0,19,97.42
1,0,20,96.85
1,0,20,97.48
1,0,20,97.19
1,0,20,97.24
1,0,20,97.3
1,0,20,97.21
1,0,20,97.03
1,0,20,97.71
1,0,20,97.51
1,0,20,97.69
2,0,1,97.82
2,0,1,98.21
2,0,1,97.64
2,0,1,96.94
2,0,1,97.69
2,0,1,96.54
2,0,1,97.57
2,0,1,97.2
2,0,1,96.94
2,0,1,96.18
2,0,2,97.75
2,0,2,96.72
2,0,2,97.32
2,0,2,98.17
2,0,2,96.42
2,0,2,97.64
2,0,2,97.57
2,0,2,97.53
2,0,2,97.19
2,0,2,97.33
2,0,3,97.02
2,0,3,97.59
2,0,3,96.81
2,0,3,97.45
2,0,3,97.18
2,0,3,96.44
2,0,3,97.94
2,0,3,96.92
2,0,3,97.18
2,0,3,97.63
2,0,4,97.96
2,0,4,97.14
2,0,4,97.81
2,0,4,97.03
2,0,4,97.95
2,0,4,97.31
2,0,4,98.17
2,0,4,97.13
2,0,4,96.54
2,0,4,98.11
2,0,5,97.52
2,0,5,97.76
2,0,5,97.82
2,0,5,97.43
2,0,5,97.9
2,0,5,97.16
2,0,5,97.75
2,0,5,97.47
2,0,5,97.83
2,0,5,97.47
2,0,6,97.44
2,0,6,97.01
2,0,6,96.94
2,0,6,97.48
2,0,6,96.99
