delay_mean,loss_mean,control_interval,sla(90%),sla(91%),sla(92%),sla(93%),sla(94%),sla(95%),sla(96%),sla(97%),sla(98%),sla(99%),avg_precision
1.0,0.01,20.0,99.50768108752177,99.50273292828764,99.4953579506729,99.48654740260602,99.47976977359394,99.47347751459253,99.46312932133156,99.45145417368683,99.43655750503785,99.39188584758547,99.66
1.0,0.02,20.0,99.49772883118658,99.49027786186582,99.48422515276116,99.47631437225093,99.46417415092718,99.45060604315394,99.42904198874267,99.3879670890085,99.30698306303458,99.15078821284288,99.65
1.0,0.03,20.0,99.49284163899723,99.48569363035875,99.47300055412536,99.46231355188927,99.45069801790655,99.43613759838959,99.4098250070111,99.35902127356792,99.23471121300206,99.04376322464343,99.64
1.0,0.04,20.0,99.46777128448085,99.45908027150509,99.44808650089661,99.43535620256085,99.4221498204278,99.38946549567554,99.35003178267904,99.2205945324895,99.13775417028657,99.05476368923848,99.64
1.0,0.05,20.0,99.46924237554549,99.4571106356312,99.44311181683078,99.41981732100685,99.3970082822178,99.36812984761487,99.32388669397577,99.2390270693516,99.14274753752042,99.04435941925438,99.64
1.0,0.06,20.0,99.44969818727668,99.43832776424786,99.42746643456923,99.41041196890151,99.38361314307423,99.34997277143164,99.29760105228397,99.1809571229027,99.06066247484429,98.96755455512323,99.62
1.0,0.07,20.0,99.43023644417217,99.41452066754925,99.40069357462626,99.36505007870021,99.32408296230882,99.26794332810395,99.17080406991958,99.10288694419481,99.03735551093077,98.98432911899256,99.63
1.0,0.08,20.0,99.41019715166054,99.38989060423427,99.36493130887496,99.32944803637523,99.27787887606584,99.22948969284965,99.14772233584245,99.08149350502093,99.0363217350462,98.97289515508429,99.61
1.0,0.09,20.0,99.33772317621455,99.30239668699842,99.26715151863277,99.22889900279809,99.18007830278854,99.13015639392587,99.07762108347475,99.02892871775413,98.97278548518067,98.88792351038049,99.6
1.0,0.11,20.0,99.35155000788473,99.32110538088828,99.29989557093589,99.26869046099559,99.21339227901929,99.15693840253248,99.09153677773241,99.04124979222227,98.98942430085772,98.93243486549306,99.61
1.0,0.12,20.0,99.27332396292847,99.22776657946076,99.18861922880033,99.13702992675131,99.08320535668126,99.0363524968219,98.96301554934465,98.89732805793172,98.70828655355716,98.40371197182833,99.59
1.0,0.13,20.0,99.35549350380295,99.3295055389072,99.28769936093992,99.22766669557353,99.16704204155202,99.1189640358991,99.07593226795414,99.03830434060686,98.9569996484765,98.70436718364724,99.61
1.0,0.14,20.0,99.28801198757603,99.25907834427844,99.2222802527008,99.17721912791419,99.13619544136719,99.09139817919453,99.0501906309846,98.98498663505137,98.92295956832405,98.71074531751213,99.59
1.0,0.15,20.0,99.19050609167816,99.15271814945086,99.1142555381588,99.07652382925225,99.05060625567171,99.01223431718071,98.97323690411278,98.91621386684459,98.78677248558782,98.38414552369001,99.58
1.0,0.16,20.0,99.12477080460008,99.0928215403836,99.06299522589218,99.02920017279328,98.97934515173056,98.93187702687648,98.86718204009814,98.70582125506861,98.51834912746784,98.35795191633122,99.54
