base_delay,control_interval,result
1,1,96.27
1,2,97.01
1,3,97.14
1,4,96.95
1,5,96.67
1,6,96.57
1,7,97.22
1,8,95.8
1,9,96.3
1,10,97.12
1,11,95.99
1,12,96.25
1,13,96.5
1,14,96.36
1,15,96.67
1,16,96.16
1,17,96.86
1,18,95.87
1,19,95.02
1,20,96.13
1,21,95.63
1,22,95.88
1,23,95.99
1,24,95.79
1,25,95.36
1,26,96.18
1,27,95.54
1,28,95.91
1,29,94.83
1,30,94.66
1,31,94.94
1,32,94.97
1,33,95.36
1,34,95.22
1,35,94.85
1,36,95.3
1,37,95.28
1,38,94.52
1,39,94.62
1,40,94.32
1,41,94.71
1,42,94.49
1,43,94.67
1,44,94.15
1,45,94.84
1,46,94.26
1,47,93.59
1,48,94.26
1,49,94.3
1,50,94.24
1,51,93.4
1,52,94.07
1,53,94.4
1,54,93.59
1,55,93.91
1,56,93.87
1,57,91.89
1,58,93.64
1,59,92.55
1,60,94.12
1,61,94.58
1,62,93.41
1,63,93.53999999999999
1,64,94.53
1,65,93.12
1,66,93.78
1,67,93.33
1,68,93.98
1,69,94.02
1,70,93.79
1,71,92.91
1,72,92.43
1,73,92.77
1,74,93.51
1,75,93.64
1,76,93.59
1,77,92.21
1,78,93.35
1,79,93.16
1,80,94.36
1,81,93.08
1,82,92.07
1,83,93.06
1,84,94.05
1,85,93.15
1,86,92.91
1,87,92.92
1,88,93.82
1,89,92.6
1,90,92.49
1,91,92.28
1,92,91.44
1,93,90.85
1,94,93.95
1,95,93.41
1,96,93.03
1,97,91.35
1,98,90.64
1,99,91.99
1,100,92.6
2,1,97.25
2,2,96.5
2,3,96.75
2,4,96.7
2,5,96.91
2,6,96.2
2,7,97.18
2,8,96.45
2,9,95.13
2,10,96.09
2,11,95.94
2,12,96.32
2,13,96.51
2,14,95.68
2,15,96.51
2,16,95.53
2,17,95.76
2,18,96.12
2,19,96.01
2,20,95.64
2,21,96.18
2,22,96.21
2,23,96.12
2,24,96.04
2,25,94.85
2,26,95.67
2,27,95.13
2,28,95.68
2,29,95.08
2,30,94.48
2,31,94.98
2,32,95.64
2,33,94.72
2,34,94.49
2,35,94.85
2,36,94.83
2,37,94.91
2,38,94.51
2,39,94.28
2,40,93.63
2,41,93.22
2,42,92.92
2,43,93.86
2,44,93.89
2,45,94.55
2,46,93.33
2,47,93.71
2,48,93.71
2,49,92.97
2,50,94.07
2,51,93.37
2,52,93.59
2,53,94.2
2,54,93.0
2,55,92.85
2,56,93.21
2,57,92.62
2,58,92.65
2,59,92.31
2,60,93.25
2,61,92.85
2,62,92.13
2,63,93.05
2,64,92.77
2,65,92.37
2,66,93.17
2,67,91.84
2,68,93.01
2,69,93.18
2,70,93.15
2,71,92.87
2,72,92.33
2,73,92.72
2,74,92.55
2,75,90.55
2,76,92.09
2,77,92.6
2,78,92.19
2,79,93.97
2,80,93.85
2,81,93.91
2,82,92.3
2,83,92.85
2,84,92.36
2,85,91.92
2,86,91.75
2,87,91.48
2,88,91.5
2,89,93.03
2,90,92.73
2,91,93.92
2,92,92.02
2,93,92.1
2,94,93.43
2,95,90.77
2,96,91.02
2,97,92.12
2,98,90.95
2,99,90.67
2,100,94.26
3,1,96.71
3,2,96.01
3,3,96.59
3,4,96.68
3,5,95.76
3,6,96.59
3,7,96.9
3,8,96.44
3,9,95.88
3,10,96.24
3,11,96.03
3,12,94.99
3,13,95.89
3,14,95.37
3,15,96.0
3,16,96.51
3,17,95.65
3,18,95.68
3,19,95.92
3,20,95.57
3,21,95.31
3,22,94.75
3,23,95.28
3,24,94.99
3,25,94.71
3,26,95.06
3,27,94.62
3,28,95.02
3,29,95.12
3,30,94.94
3,31,94.62
3,32,94.31
3,33,94.68
3,34,95.06
3,35,94.54
3,36,95.01
3,37,94.46
3,38,94.7
3,39,94.67
3,40,93.93
3,41,94.57
3,42,93.97
3,43,94.27
3,44,94.18
3,45,93.91
3,46,94.16
3,47,92.76
3,48,93.28
3,49,93.89
3,50,93.88
3,51,94.01
3,52,93.06
3,53,92.71
3,54,92.35
3,55,93.12
3,56,93.78
3,57,93.5
3,58,93.1
3,59,93.45
3,60,93.55
3,61,92.35
3,62,93.09
3,63,92.27
3,64,91.9
3,65,93.28
3,66,93.71
3,67,92.85
3,68,92.11
3,69,92.06
3,70,92.81
3,71,92.17
3,72,93.4
3,73,92.7
3,74,93.18
3,75,92.12
3,76,92.77
3,77,91.41
3,78,92.15
3,79,92.97
3,80,90.77
3,81,91.13
3,82,91.95
3,83,91.23
3,84,92.55
3,85,92.61
3,86,91.09
3,87,91.97
3,88,93.2
3,89,94.21
3,90,90.14
3,91,93.14
3,92,91.93
3,93,90.22
3,94,89.94
3,95,92.45
3,96,90.78
3,97,91.86
3,98,89.59
3,99,91.78
3,100,91.67
4,1,95.22
4,2,96.75
4,3,95.6
4,4,96.47
4,5,96.34
4,6,95.39
4,7,95.71
4,8,95.79
4,9,95.66
4,10,95.72
4,11,95.92
4,12,96.1
4,13,96.06
4,14,95.6
4,15,95.06
4,16,95.78
4,17,95.42
4,18,95.95
4,19,94.59
4,20,95.2
4,21,94.55
4,22,95.67
4,23,94.96
4,24,94.69
4,25,95.55
4,26,95.11
4,27,95.21
4,28,95.15
4,29,95.08
4,30,94.79
4,31,94.17
4,32,94.1
4,33,94.19
4,34,93.62
4,35,93.97
4,36,93.98
4,37,93.93
