delay_mean,trace_mean,avg_precision
0,10,0.95625
0,10,0.95625
0,10,0.95625
0,10,0.95625
0,10,0.95625
0,11,0.95625
0,11,0.9625
0,11,0.95625
0,11,0.95625
0,11,0.95625
0,12,0.9625
0,12,0.95625
0,12,0.95625
0,12,0.9625
0,12,0.95625
0,13,0.9625
0,13,0.96875
0,13,0.975
0,13,0.9625
0,13,0.96875
0,14,0.96875
0,14,0.96875
0,14,0.975
0,14,0.96875
0,14,0.975
0,15,0.975
0,15,0.96875
0,15,0.96875
0,15,0.975
0,15,0.975
0,16,0.9875
0,16,0.975
0,16,0.96875
0,16,0.975
0,16,0.98125
0,17,0.975
0,17,0.98125
0,17,0.9625
0,17,0.975
0,17,0.96875
0,18,0.95625
0,18,0.975
0,18,0.975
0,18,0.975
0,18,0.975
0,19,0.975
0,19,0.975
0,19,0.98125
0,19,0.975
0,19,0.975
0,20,0.9875
0,20,0.9875
0,20,0.9875
0,20,0.9875
0,20,0.975
10,10,0.95625
10,10,0.95625
10,10,0.95625
10,10,0.95625
10,10,0.95625
10,11,0.95625
10,11,0.95625
10,11,0.95625
10,11,0.95625
10,11,0.95625
10,12,0.9625
10,12,0.9625
10,12,0.9625
10,12,0.9625
10,12,0.9625
10,13,0.9625
10,13,0.9625
10,13,0.9625
10,13,0.96875
10,13,0.975
10,14,0.975
10,14,0.98125
10,14,0.975
10,14,0.95625
10,14,0.9625
10,15,0.98125
10,15,0.96875
10,15,0.98125
10,15,0.98125
10,15,0.98125
10,16,0.975
10,16,0.975
10,16,0.98125
10,16,0.96875
10,16,0.9875
10,17,0.975
10,17,0.98125
10,17,0.9875
10,17,0.975
10,17,0.99375
10,18,0.98125
10,18,0.98125
10,18,0.975
10,18,0.98125
10,18,0.98125
10,19,0.98125
10,19,0.975
10,19,0.98125
10,19,0.98125
10,19,0.98125
10,20,0.98125
10,20,0.98125
10,20,0.98125
10,20,0.98125
10,20,0.9875
20,10,0.95
20,10,0.95
20,10,0.94375
20,10,0.95
20,10,0.95
20,11,0.96875
20,11,0.95625
20,11,0.95625
20,11,0.95625
20,11,0.96875
20,12,0.9625
